date,nav,day_change,fund_code,fund_name
2013-01-02,42.5243,,119533,HDFC Mid-Cap Opportunities Fund
2013-01-03,42.5392,0.014900000000004354,119533,HDFC Mid-Cap Opportunities Fund
2013-01-04,42.5567,0.017499999999998295,119533,HDFC Mid-Cap Opportunities Fund
2013-01-07,42.6007,0.044000000000004036,119533,HDFC Mid-Cap Opportunities Fund
2013-01-08,42.6146,0.01389999999999958,119533,HDFC Mid-Cap Opportunities Fund
2013-01-09,42.6232,0.008599999999994168,119533,HDFC Mid-Cap Opportunities Fund
2013-01-10,42.6596,0.03640000000000043,119533,HDFC Mid-Cap Opportunities Fund
2013-01-11,42.6672,0.007600000000003604,119533,HDFC Mid-Cap Opportunities Fund
2013-01-14,42.7207,0.05349999999999966,119533,HDFC Mid-Cap Opportunities Fund
2013-01-15,42.7257,0.005000000000002558,119533,HDFC Mid-Cap Opportunities Fund
2013-01-16,42.7158,-0.009900000000001796,119533,HDFC Mid-Cap Opportunities Fund
2013-01-17,42.7316,0.015799999999998704,119533,HDFC Mid-Cap Opportunities Fund
2013-01-18,42.7388,0.007199999999997431,119533,HDFC Mid-Cap Opportunities Fund
2013-01-21,42.7686,0.029800000000001603,119533,HDFC Mid-Cap Opportunities Fund
2013-01-22,42.7692,0.0005999999999986017,119533,HDFC Mid-Cap Opportunities Fund
2013-01-23,42.7712,0.0020000000000024443,119533,HDFC Mid-Cap Opportunities Fund
2013-01-24,42.7869,0.01570000000000249,119533,HDFC Mid-Cap Opportunities Fund
2013-01-28,42.822,0.03509999999999991,119533,HDFC Mid-Cap Opportunities Fund
2013-01-29,42.8421,0.02009999999999934,119533,HDFC Mid-Cap Opportunities Fund
2013-01-30,42.8402,-0.0018999999999991246,119533,HDFC Mid-Cap Opportunities Fund
2013-01-31,42.8216,-0.01860000000000639,119533,HDFC Mid-Cap Opportunities Fund
2013-02-01,42.8143,-0.007299999999993645,119533,HDFC Mid-Cap Opportunities Fund
2013-02-04,42.8229,0.008599999999994168,119533,HDFC Mid-Cap Opportunities Fund
2013-02-05,42.8249,0.0020000000000024443,119533,HDFC Mid-Cap Opportunities Fund
2013-02-06,42.8258,0.0009000000000014552,119533,HDFC Mid-Cap Opportunities Fund
2013-02-07,42.8621,0.03629999999999711,119533,HDFC Mid-Cap Opportunities Fund
2013-02-08,42.8762,0.014099999999999113,119533,HDFC Mid-Cap Opportunities Fund
2013-02-11,42.9005,0.024300000000003763,119533,HDFC Mid-Cap Opportunities Fund
2013-02-12,42.8977,-0.00280000000000058,119533,HDFC Mid-Cap Opportunities Fund
2013-02-13,42.9047,0.006999999999997897,119533,HDFC Mid-Cap Opportunities Fund
2013-02-14,42.8986,-0.006099999999996442,119533,HDFC Mid-Cap Opportunities Fund
2013-02-15,42.901,0.002400000000001512,119533,HDFC Mid-Cap Opportunities Fund
2013-02-18,42.9273,0.026299999999999102,119533,HDFC Mid-Cap Opportunities Fund
2013-02-20,42.953,0.0257000000000005,119533,HDFC Mid-Cap Opportunities Fund
2013-02-21,42.9609,0.007899999999999352,119533,HDFC Mid-Cap Opportunities Fund
2013-02-22,42.9563,-0.00460000000000349,119533,HDFC Mid-Cap Opportunities Fund
2013-02-25,42.9772,0.02090000000000458,119533,HDFC Mid-Cap Opportunities Fund
2013-02-26,42.9795,0.0022999999999981924,119533,HDFC Mid-Cap Opportunities Fund
2013-02-27,42.9926,0.013100000000001444,119533,HDFC Mid-Cap Opportunities Fund
2013-02-28,42.989,-0.0036000000000058208,119533,HDFC Mid-Cap Opportunities Fund
2013-03-01,43.0027,0.013700000000000045,119533,HDFC Mid-Cap Opportunities Fund
2013-03-04,43.0388,0.036100000000004684,119533,HDFC Mid-Cap Opportunities Fund
2013-03-05,43.0599,0.02109999999999701,119533,HDFC Mid-Cap Opportunities Fund
2013-03-06,43.0914,0.031500000000001194,119533,HDFC Mid-Cap Opportunities Fund
2013-03-07,43.1109,0.01950000000000074,119533,HDFC Mid-Cap Opportunities Fund
2013-03-08,43.1254,0.014499999999998181,119533,HDFC Mid-Cap Opportunities Fund
2013-03-11,43.1492,0.023800000000001376,119533,HDFC Mid-Cap Opportunities Fund
2013-03-12,43.1596,0.010399999999997078,119533,HDFC Mid-Cap Opportunities Fund
2013-03-13,43.1853,0.0257000000000005,119533,HDFC Mid-Cap Opportunities Fund
2013-03-14,43.2532,0.06790000000000163,119533,HDFC Mid-Cap Opportunities Fund
2013-03-15,43.2713,0.018099999999996896,119533,HDFC Mid-Cap Opportunities Fund
2013-03-18,43.2915,0.02020000000000266,119533,HDFC Mid-Cap Opportunities Fund
2013-03-19,43.2912,-0.0002999999999957481,119533,HDFC Mid-Cap Opportunities Fund
2013-03-20,43.3155,0.024299999999996658,119533,HDFC Mid-Cap Opportunities Fund
2013-03-21,43.3419,0.02640000000000242,119533,HDFC Mid-Cap Opportunities Fund
2013-03-22,43.3503,0.008399999999994634,119533,HDFC Mid-Cap Opportunities Fund
2013-03-25,43.3857,0.03540000000000276,119533,HDFC Mid-Cap Opportunities Fund
2013-03-26,43.3788,-0.0069000000000016826,119533,HDFC Mid-Cap Opportunities Fund
2013-03-28,43.4139,0.03509999999999991,119533,HDFC Mid-Cap Opportunities Fund
2013-04-02,43.5237,0.1097999999999999,119533,HDFC Mid-Cap Opportunities Fund
2013-04-03,43.5412,0.0175000000000054,119533,HDFC Mid-Cap Opportunities Fund
2013-04-04,43.5698,0.028599999999997294,119533,HDFC Mid-Cap Opportunities Fund
2013-04-05,43.5797,0.009900000000001796,119533,HDFC Mid-Cap Opportunities Fund
2013-04-08,43.6141,0.03439999999999799,119533,HDFC Mid-Cap Opportunities Fund
2013-04-09,43.6268,0.012700000000002376,119533,HDFC Mid-Cap Opportunities Fund
2013-04-10,43.6414,0.014599999999994395,119533,HDFC Mid-Cap Opportunities Fund
2013-04-12,43.6819,0.040500000000001535,119533,HDFC Mid-Cap Opportunities Fund
2013-04-15,43.7196,0.037700000000000955,119533,HDFC Mid-Cap Opportunities Fund
2013-04-16,43.7442,0.02459999999999951,119533,HDFC Mid-Cap Opportunities Fund
2013-04-17,43.7681,0.02389999999999759,119533,HDFC Mid-Cap Opportunities Fund
2013-04-18,43.802,0.033900000000002706,119533,HDFC Mid-Cap Opportunities Fund
2013-04-22,43.8448,0.04279999999999973,119533,HDFC Mid-Cap Opportunities Fund
2013-04-23,43.8632,0.01839999999999975,119533,HDFC Mid-Cap Opportunities Fund
2013-04-25,43.8949,0.03170000000000073,119533,HDFC Mid-Cap Opportunities Fund
2013-04-26,43.9108,0.015900000000002024,119533,HDFC Mid-Cap Opportunities Fund
2013-04-29,43.9399,0.02909999999999968,119533,HDFC Mid-Cap Opportunities Fund
2013-04-30,43.9758,0.035899999999998045,119533,HDFC Mid-Cap Opportunities Fund
2013-05-02,44.0348,0.0589999999999975,119533,HDFC Mid-Cap Opportunities Fund
2013-05-03,44.0457,0.010899999999999466,119533,HDFC Mid-Cap Opportunities Fund
2013-05-06,44.0821,0.03640000000000043,119533,HDFC Mid-Cap Opportunities Fund
